recid,location,event,eventType,xcoord,ycoord,dt,_date,_time
468,300 BLOCK OF SHIRLEY AVENUE                                                                                                                                                                             ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12129258.71696110   ,3481752.75738507    ,2010-09-30 07:32:47.000,9/30/2010 ,1900-01-01 07:32:00.000
469,LLEWELLYN AVENUE & SHIRLEY AVENUE                                                                                                                                                                       ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12129725.00001900   ,3481565.87505461    ,2010-09-30 07:33:19.000,9/30/2010 ,1900-01-01 07:33:00.000
470,LLEWELLYN AVENUE & W PRINCESS ANNE ROAD                                                                                                                                                                 ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12129374.49998920   ,3480689.37508002    ,2010-09-30 07:33:48.000,9/30/2010 ,1900-01-01 07:33:00.000
471,900 BLOCK OF TIDEWATER DRIVE                                                                                                                                                                            ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12133924.75544770   ,3478090.12612055    ,2010-09-30 08:29:00.000,9/30/2010 ,1900-01-01 08:29:00.000
472,CAMPOSTELLA ROAD & E BRAMBLETON AVENUE                                                                                                                                                                  ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12136382.00001380   ,3474442.62495346    ,2010-09-30 08:29:38.000,9/30/2010 ,1900-01-01 08:29:00.000
473,2800 BLOCK OF E VIRGINIA BEACH BOULEVARD                                                                                                                                                                ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12140004.50000760   ,3477601.87489055    ,2010-09-30 08:30:29.000,9/30/2010 ,1900-01-01 08:30:00.000
474,3500 BLOCK OF SEWELLS POINT ROAD                                                                                                                                                                        ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12144911.22030170   ,3490053.95508865    ,2010-09-30 08:31:16.000,9/30/2010 ,1900-01-01 08:31:00.000
475,E LITTLE CREEK ROAD & GALVESTON BOULEVARD                                                                                                                                                               ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12137154.50008550   ,3501490.75001703    ,2010-09-30 08:31:41.000,9/30/2010 ,1900-01-01 08:31:00.000
476,4TH VIEW STREET & W OCEAN VIEW AVENUE                                                                                                                                                                   ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12137041.99996660   ,3516670.00001742    ,2010-09-30 08:32:02.000,9/30/2010 ,1900-01-01 08:32:00.000
477,300 BLOCK OF E LITTLE CREEK ROAD                                                                                                                                                                        ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12136613.53336110   ,3501468.00149469    ,2010-09-30 08:32:30.000,9/30/2010 ,1900-01-01 08:32:00.000
478,E LITTLE CREEK ROAD & SAN ANTONIO BOULEVARD                                                                                                                                                             ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12136058.00007420   ,3501211.24988465    ,2010-09-30 08:33:08.000,9/30/2010 ,1900-01-01 08:33:00.000
479,ALEXANDER STREET & STRAND STREET                                                                                                                                                                        ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12144692.99994130   ,3492905.49990088    ,2010-09-30 08:34:21.000,9/30/2010 ,1900-01-01 08:34:00.000
480,300 BLOCK OF SAN ANTONIO BOULEVARD                                                                                                                                                                      ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12136558.34132840   ,3500698.53180818    ,2010-09-30 08:35:57.000,9/30/2010 ,1900-01-01 08:35:00.000
481,400 BLOCK OF SAN ANTONIO BOULEVARD                                                                                                                                                                      ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12137495.80981470   ,3500613.63634233    ,2010-09-30 08:36:09.000,9/30/2010 ,1900-01-01 08:36:00.000
482,1100 BLOCK OF GEORGETOWN ROAD                                                                                                                                                                           ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12154904.07066890   ,3480753.89612842    ,2010-09-30 08:36:28.000,9/30/2010 ,1900-01-01 08:36:00.000
483,E BRAMBLETON AVENUE & SAINT PAULS BOULEVARD                                                                                                                                                             ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12130816.99994380   ,3477971.62508438    ,2010-09-30 08:37:22.000,9/30/2010 ,1900-01-01 08:37:00.000
484,BOUSH STREET & W OLNEY ROAD                                                                                                                                                                             ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12129207.00001840   ,3478802.50015143    ,2010-09-30 08:38:08.000,9/30/2010 ,1900-01-01 08:38:00.000
485,E BRAMBLETON AVENUE & I-264W HIGHWAY                                                                                                                                                                    ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12135922.49988000   ,3474922.62506209    ,2010-09-30 08:39:10.000,9/30/2010 ,1900-01-01 08:39:00.000
486,BALDWIN AVENUE & STOCKLEY GARDENS                                                                                                                                                                       ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12128075.50001570   ,3482138.99993571    ,2010-09-30 08:39:33.000,9/30/2010 ,1900-01-01 08:39:00.000
487,CHURCH STREET & GOFF STREET                                                                                                                                                                             ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12132948.50004180   ,3480008.62493792    ,2010-09-30 09:00:26.000,9/30/2010 ,1900-01-01 09:00:00.000
488,CHURCH STREET & E PRINCESS ANNE ROAD                                                                                                                                                                    ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12132836.49988020   ,3479574.87503716    ,2010-09-30 09:00:45.000,9/30/2010 ,1900-01-01 09:00:00.000
489,E PRINCESS ANNE ROAD & MONTICELLO AVENUE                                                                                                                                                                ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12130363.00012540   ,3480389.25010146    ,2010-09-30 09:01:50.000,9/30/2010 ,1900-01-01 09:01:00.000
490,DEBREE AVENUE & W PRINCESS ANNE ROAD                                                                                                                                                                    ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12128396.99985480   ,3481286.25005087    ,2010-09-30 09:11:32.000,9/30/2010 ,1900-01-01 09:11:00.000
491,INGLESIDE ROAD & E PRINCESS ANNE ROAD                                                                                                                                                                   ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12142817.49994310   ,3481606.37504706    ,2010-09-30 09:12:59.000,9/30/2010 ,1900-01-01 09:12:00.000
492,E VIRGINIA BEACH BOULEVARD & TIDEWATER DRIVE                                                                                                                                                            ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12134007.99991830   ,3478239.25001462    ,2010-09-30 09:14:08.000,9/30/2010 ,1900-01-01 09:14:00.000
493,GOSNOLD AVENUE & W 26TH STREET                                                                                                                                                                          ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12128252.00000220   ,3485195.74984491    ,2010-09-30 09:17:22.000,9/30/2010 ,1900-01-01 09:17:00.000
494,MUNSON STREET & W 26TH STREET                                                                                                                                                                           ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12128490.00007050   ,3485115.50003170    ,2010-09-30 09:17:39.000,9/30/2010 ,1900-01-01 09:17:00.000
495,NEWPORT AVENUE & W 26TH STREET                                                                                                                                                                          ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12128780.00009020   ,3485018.25010125    ,2010-09-30 09:17:53.000,9/30/2010 ,1900-01-01 09:17:00.000
496,COLONIAL AVENUE & W 26TH STREET                                                                                                                                                                         ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12129269.00005740   ,3484853.50013098    ,2010-09-30 09:18:10.000,9/30/2010 ,1900-01-01 09:18:00.000
497,ARGONNE AVENUE & KITCHENER AVENUE                                                                                                                                                                       ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12138593.99998240   ,3485613.25011468    ,2010-09-30 09:18:50.000,9/30/2010 ,1900-01-01 09:18:00.000
498,6200 BLOCK OF GENEVA WAY                                                                                                                                                                                ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12146247.48351030   ,3492832.46587563    ,2010-09-30 09:56:04.000,9/30/2010 ,1900-01-01 09:56:00.000
499,CHESAPEAKE BOULEVARD & FISHERMANS ROAD                                                                                                                                                                  ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12142328.00001880   ,3505821.87492426    ,2010-09-30 09:57:12.000,9/30/2010 ,1900-01-01 09:57:00.000
500,2000 BLOCK OF E OCEAN VIEW AVENUE                                                                                                                                                                       ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12150035.28403260   ,3508507.55065765    ,2010-09-30 09:57:33.000,9/30/2010 ,1900-01-01 09:57:00.000
501,6600 BLOCK OF AZALEA GARDEN ROAD                                                                                                                                                                        ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12152269.50001460   ,3496779.25000744    ,2010-09-30 09:58:38.000,9/30/2010 ,1900-01-01 09:58:00.000
503,1000 BLOCK OF WARWICK AVENUE                                                                                                                                                                            ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12142252.99143240   ,3509873.30839845    ,2010-09-30 09:59:42.000,9/30/2010 ,1900-01-01 09:59:00.000
