,﻿recid,location,event,eventType,xcoord,ycoord,dt,_date,_time
0,468,300 BLOCK OF SHIRLEY AVENUE                                                                                                                                                                             ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12129258.717,3481752.75739,2010-09-30 07:32:47.000,9/30/2010 ,1900-01-01 07:32:00.000
1,469,LLEWELLYN AVENUE & SHIRLEY AVENUE                                                                                                                                                                       ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12129725.0,3481565.87505,2010-09-30 07:33:19.000,9/30/2010 ,1900-01-01 07:33:00.000
2,470,LLEWELLYN AVENUE & W PRINCESS ANNE ROAD                                                                                                                                                                 ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12129374.5,3480689.37508,2010-09-30 07:33:48.000,9/30/2010 ,1900-01-01 07:33:00.000
3,471,900 BLOCK OF TIDEWATER DRIVE                                                                                                                                                                            ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12133924.7554,3478090.12612,2010-09-30 08:29:00.000,9/30/2010 ,1900-01-01 08:29:00.000
4,472,CAMPOSTELLA ROAD & E BRAMBLETON AVENUE                                                                                                                                                                  ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12136382.0,3474442.62495,2010-09-30 08:29:38.000,9/30/2010 ,1900-01-01 08:29:00.000
5,473,2800 BLOCK OF E VIRGINIA BEACH BOULEVARD                                                                                                                                                                ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12140004.5,3477601.87489,2010-09-30 08:30:29.000,9/30/2010 ,1900-01-01 08:30:00.000
6,474,3500 BLOCK OF SEWELLS POINT ROAD                                                                                                                                                                        ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12144911.2203,3490053.95509,2010-09-30 08:31:16.000,9/30/2010 ,1900-01-01 08:31:00.000
7,475,E LITTLE CREEK ROAD & GALVESTON BOULEVARD                                                                                                                                                               ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12137154.5001,3501490.75002,2010-09-30 08:31:41.000,9/30/2010 ,1900-01-01 08:31:00.000
8,476,4TH VIEW STREET & W OCEAN VIEW AVENUE                                                                                                                                                                   ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12137042.0,3516670.00002,2010-09-30 08:32:02.000,9/30/2010 ,1900-01-01 08:32:00.000
9,477,300 BLOCK OF E LITTLE CREEK ROAD                                                                                                                                                                        ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12136613.5334,3501468.00149,2010-09-30 08:32:30.000,9/30/2010 ,1900-01-01 08:32:00.000
10,478,E LITTLE CREEK ROAD & SAN ANTONIO BOULEVARD                                                                                                                                                             ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12136058.0001,3501211.24988,2010-09-30 08:33:08.000,9/30/2010 ,1900-01-01 08:33:00.000
11,479,ALEXANDER STREET & STRAND STREET                                                                                                                                                                        ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12144692.9999,3492905.4999,2010-09-30 08:34:21.000,9/30/2010 ,1900-01-01 08:34:00.000
12,480,300 BLOCK OF SAN ANTONIO BOULEVARD                                                                                                                                                                      ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12136558.3413,3500698.53181,2010-09-30 08:35:57.000,9/30/2010 ,1900-01-01 08:35:00.000
13,481,400 BLOCK OF SAN ANTONIO BOULEVARD                                                                                                                                                                      ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12137495.8098,3500613.63634,2010-09-30 08:36:09.000,9/30/2010 ,1900-01-01 08:36:00.000
14,482,1100 BLOCK OF GEORGETOWN ROAD                                                                                                                                                                           ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12154904.0707,3480753.89613,2010-09-30 08:36:28.000,9/30/2010 ,1900-01-01 08:36:00.000
15,483,E BRAMBLETON AVENUE & SAINT PAULS BOULEVARD                                                                                                                                                             ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12130816.9999,3477971.62508,2010-09-30 08:37:22.000,9/30/2010 ,1900-01-01 08:37:00.000
16,484,BOUSH STREET & W OLNEY ROAD                                                                                                                                                                             ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12129207.0,3478802.50015,2010-09-30 08:38:08.000,9/30/2010 ,1900-01-01 08:38:00.000
17,485,E BRAMBLETON AVENUE & I-264W HIGHWAY                                                                                                                                                                    ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12135922.4999,3474922.62506,2010-09-30 08:39:10.000,9/30/2010 ,1900-01-01 08:39:00.000
18,486,BALDWIN AVENUE & STOCKLEY GARDENS                                                                                                                                                                       ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12128075.5,3482138.99994,2010-09-30 08:39:33.000,9/30/2010 ,1900-01-01 08:39:00.000
19,487,CHURCH STREET & GOFF STREET                                                                                                                                                                             ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12132948.5,3480008.62494,2010-09-30 09:00:26.000,9/30/2010 ,1900-01-01 09:00:00.000
20,488,CHURCH STREET & E PRINCESS ANNE ROAD                                                                                                                                                                    ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12132836.4999,3479574.87504,2010-09-30 09:00:45.000,9/30/2010 ,1900-01-01 09:00:00.000
21,489,E PRINCESS ANNE ROAD & MONTICELLO AVENUE                                                                                                                                                                ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12130363.0001,3480389.2501,2010-09-30 09:01:50.000,9/30/2010 ,1900-01-01 09:01:00.000
22,490,DEBREE AVENUE & W PRINCESS ANNE ROAD                                                                                                                                                                    ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12128396.9999,3481286.25005,2010-09-30 09:11:32.000,9/30/2010 ,1900-01-01 09:11:00.000
23,491,E PRINCESS ANNE ROAD & INGLESIDE ROAD,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12142817.4999,3481606.37505,2010-09-30 09:12:59.000,9/30/2010 ,1900-01-01 09:12:00.000
24,492,E VIRGINIA BEACH BOULEVARD & TIDEWATER DRIVE                                                                                                                                                            ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12134007.9999,3478239.25001,2010-09-30 09:14:08.000,9/30/2010 ,1900-01-01 09:14:00.000
25,493,GOSNOLD AVENUE & W 26TH STREET                                                                                                                                                                          ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12128252.0,3485195.74984,2010-09-30 09:17:22.000,9/30/2010 ,1900-01-01 09:17:00.000
26,494,MUNSON STREET & W 26TH STREET                                                                                                                                                                           ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12128490.0001,3485115.50003,2010-09-30 09:17:39.000,9/30/2010 ,1900-01-01 09:17:00.000
27,495,NEWPORT AVENUE & W 26TH STREET                                                                                                                                                                          ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12128780.0001,3485018.2501,2010-09-30 09:17:53.000,9/30/2010 ,1900-01-01 09:17:00.000
28,496,COLONIAL AVENUE & W 26TH STREET                                                                                                                                                                         ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12129269.0001,3484853.50013,2010-09-30 09:18:10.000,9/30/2010 ,1900-01-01 09:18:00.000
29,497,ARGONNE AVENUE & KITCHENER AVENUE                                                                                                                                                                       ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12138594.0,3485613.25011,2010-09-30 09:18:50.000,9/30/2010 ,1900-01-01 09:18:00.000
30,498,6200 BLOCK OF GENEVA WAY                                                                                                                                                                                ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12146247.4835,3492832.46588,2010-09-30 09:56:04.000,9/30/2010 ,1900-01-01 09:56:00.000
31,499,CHESAPEAKE BOULEVARD & FISHERMANS ROAD                                                                                                                                                                  ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12142328.0,3505821.87492,2010-09-30 09:57:12.000,9/30/2010 ,1900-01-01 09:57:00.000
32,500,2000 BLOCK OF E OCEAN VIEW AVENUE                                                                                                                                                                       ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12150035.284,3508507.55066,2010-09-30 09:57:33.000,9/30/2010 ,1900-01-01 09:57:00.000
33,501,6600 BLOCK OF AZALEA GARDEN ROAD                                                                                                                                                                        ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12152269.5,3496779.25001,2010-09-30 09:58:38.000,9/30/2010 ,1900-01-01 09:58:00.000
34,503,1000 BLOCK OF WARWICK AVENUE                                                                                                                                                                            ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12142252.9914,3509873.3084,2010-09-30 09:59:42.000,9/30/2010 ,1900-01-01 09:59:00.000
35,504,700 BLOCK OF EUWANEE PLACE                                                                                                                                                                              ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12141550.61,3508980.96572,2010-09-30 10:00:01.000,9/30/2010 ,1900-01-01 10:00:00.000
36,505,100 BLOCK OF E WESTMONT AVENUE                                                                                                                                                                          ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12137377.8054,3508262.55838,2010-09-30 10:00:41.000,9/30/2010 ,1900-01-01 10:00:00.000
37,506,E BAYVIEW BOULEVARD & STURGIS STREET                                                                                                                                                                    ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12144164.9999,3507633.74998,2010-09-30 10:01:19.000,9/30/2010 ,1900-01-01 10:01:00.000
38,507,CHESAPEAKE BOULEVARD & MIDDLETON PLACE                                                                                                                                                                  ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12144023.0001,3494418.2499,2010-09-30 10:01:57.000,9/30/2010 ,1900-01-01 10:01:00.000
39,508,6500 BLOCK OF CHESAPEAKE BOULEVARD                                                                                                                                                                      ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12143978.5648,3494705.83119,2010-09-30 10:02:38.000,9/30/2010 ,1900-01-01 10:02:00.000
40,509,6200 BLOCK OF EDWARD STREET                                                                                                                                                                             ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12146437.201,3493026.31341,2010-09-30 10:02:55.000,9/30/2010 ,1900-01-01 10:02:00.000
41,510,2400 BLOCK OF SEWELLS POINT ROAD                                                                                                                                                                        ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12146166.5003,3485154.25,2010-09-30 10:03:14.000,9/30/2010 ,1900-01-01 10:03:00.000
42,511,ALDER STREET & DENVER AVENUE                                                                                                                                                                            ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12145214.0,3484334.4999,2010-09-30 10:03:58.000,9/30/2010 ,1900-01-01 10:03:00.000
43,512,TABB STREET & TIDEWATER DRIVE                                                                                                                                                                           ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12133846.0001,3477648.74993,2010-09-30 10:05:44.000,9/30/2010 ,1900-01-01 10:05:00.000
44,514,1600 BLOCK OF MORRIS AVENUE                                                                                                                                                                             ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12136049.5,3487821.62504,2010-09-30 10:09:12.000,9/30/2010 ,1900-01-01 10:09:00.000
45,515,E OCEAN VIEW AVENUE & STURGIS STREET                                                                                                                                                                    ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12145468.9999,3510573.2501,2010-09-30 10:36:11.000,9/30/2010 ,1900-01-01 10:36:00.000
46,516,401 MONTICELLO AVENUE                                                                                                                                                                                   ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12129761.0001,3476951.75005,2010-09-30 10:38:46.000,9/30/2010 ,1900-01-01 10:38:00.000
47,517,E 9TH STREET & MONTICELLO AVENUE                                                                                                                                                                        ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12130260.0001,3479804.74998,2010-09-30 11:36:31.000,9/30/2010 ,1900-01-01 11:36:00.000
48,518,MARTONE ROAD & OLEO ROAD                                                                                                                                                                                ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12153592.0,3498817.24993,2010-09-30 11:43:20.000,9/30/2010 ,1900-01-01 11:43:00.000
49,520,900 BLOCK OF BOTETOURT GARDENS                                                                                                                                                                          ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12128495.2874,3480676.82646,2010-09-30 11:52:23.000,9/30/2010 ,1900-01-01 11:52:00.000
50,521,810 UNION STREET                                                                                                                                                                                        ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12130804.1091,3474570.83769,2010-09-30 11:59:04.000,9/30/2010 ,1900-01-01 11:59:00.000
51,523,1600 BLOCK OF MADISON AVENUE                                                                                                                                                                            ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12136797.1523,3477236.44973,2010-09-30 12:25:30.000,9/30/2010 ,1900-01-01 12:25:00.000
52,524,900 BLOCK OF MADISON AVENUE                                                                                                                                                                             ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12136606.1513,3477056.58084,2010-09-30 12:30:31.000,9/30/2010 ,1900-01-01 12:30:00.000
53,525,E BRAMBLETON AVENUE & TIDEWATER DRIVE                                                                                                                                                                   ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12133519.8714,3476715.99998,2010-09-30 12:31:08.000,9/30/2010 ,1900-01-01 12:31:00.000
54,526,CHURCH STREET & E BRAMBLETON AVENUE                                                                                                                                                                     ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12132320.4999,3477748.37493,2010-09-30 12:31:42.000,9/30/2010 ,1900-01-01 12:31:00.000
55,527,CHAPEL STREET & E BRAMBLETON AVENUE                                                                                                                                                                     ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12132797.9999,3477412.00015,2010-09-30 12:32:34.000,9/30/2010 ,1900-01-01 12:32:00.000
56,528,E BRAMBLETON AVENUE & ROSWELL AVENUE                                                                                                                                                                    ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12133142.0,3477128.24999,2010-09-30 12:32:49.000,9/30/2010 ,1900-01-01 12:32:00.000
57,529,E BRAMBLETON AVENUE & LANDING STREET                                                                                                                                                                    ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12132977.0,3477219.99992,2010-09-30 12:33:08.000,9/30/2010 ,1900-01-01 12:33:00.000
58,532,EVELYN T BUTTS AVENUE & AVENUE J                                                                                                                                                                        ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12142561.0,3499982.74985,2010-09-30 12:53:11.000,9/30/2010 ,1900-01-01 12:53:00.000
59,533,BERKLEY AVENUE EX & CAMPOSTELLA ROAD                                                                                                                                                                    ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12138296.5,3466698.62508,2010-09-30 12:58:15.000,9/30/2010 ,1900-01-01 12:58:00.000
60,536,800 BLOCK OF TIDEWATER DRIVE                                                                                                                                                                            ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12133837.9184,3477624.01282,2010-09-30 13:09:37.000,9/30/2010 ,1900-01-01 13:09:00.000
61,537,700 BLOCK OF TIDEWATER DRIVE                                                                                                                                                                            ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12133666.6422,3477092.14985,2010-09-30 13:10:03.000,9/30/2010 ,1900-01-01 13:10:00.000
62,538,GRANBY STREET & E WESTMONT AVENUE                                                                                                                                                                       ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12136759.0001,3508511.74999,2010-09-30 13:10:20.000,9/30/2010 ,1900-01-01 13:10:00.000
63,539,400 BLOCK OF TIDEWATER DRIVE                                                                                                                                                                            ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12133196.7198,3475469.48637,2010-09-30 13:11:53.000,9/30/2010 ,1900-01-01 13:11:00.000
64,540,500 BLOCK OF TIDEWATER DRIVE                                                                                                                                                                            ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12133280.0,3476043.8749,2010-09-30 13:12:16.000,9/30/2010 ,1900-01-01 13:12:00.000
