,a,b
0,FISHERMANS ROAD & CHESAPEAKE BOULEVARD,CHESAPEAKE BOULEVARD &  FISHERMANS ROAD
1,E BRAMBLETON AVENUE & CAMPOSTELLA ROAD,CAMPOSTELLA ROAD &  E BRAMBLETON AVENUE
2,MONTICELLO AVENUE & E 22ND STREET,E 22ND STREET &  MONTICELLO AVENUE
3,TIDEWATER DRIVE & NORVIEW AVENUE,NORVIEW AVENUE &  TIDEWATER DRIVE
4,SHIRLEY AVENUE & LLEWELLYN AVENUE,LLEWELLYN AVENUE &  SHIRLEY AVENUE
5,MAGNOLIA AVENUE & HAMPTON BOULEVARD,HAMPTON BOULEVARD &  MAGNOLIA AVENUE
6,MONTICELLO AVENUE & E VIRGINIA BEACH BOULEVARD,E VIRGINIA BEACH BOULEVARD &  MONTICELLO AVENUE
7,W OLNEY ROAD & BOUSH STREET,BOUSH STREET &  W OLNEY ROAD
8,W VIRGINIA BEACH BOULEVARD & W OLNEY ROAD,W OLNEY ROAD &  W VIRGINIA BEACH BOULEVARD
9,MONTICELLO AVENUE & E PRINCESS ANNE ROAD,E PRINCESS ANNE ROAD &  MONTICELLO AVENUE
10,HANOVER AVENUE & HAMPTON BOULEVARD,HAMPTON BOULEVARD &  HANOVER AVENUE
11,W VIRGINIA BEACH BOULEVARD & LLEWELLYN AVENUE,LLEWELLYN AVENUE &  W VIRGINIA BEACH BOULEVARD
12,W OLNEY ROAD & DUKE STREET,DUKE STREET &  W OLNEY ROAD
13,TIDEWATER DRIVE & E VIRGINIA BEACH BOULEVARD,E VIRGINIA BEACH BOULEVARD &  TIDEWATER DRIVE
14,W PRINCESS ANNE ROAD & COLONIAL AVENUE,COLONIAL AVENUE &  W PRINCESS ANNE ROAD
15,W PRINCESS ANNE ROAD & HAMPTON BOULEVARD,HAMPTON BOULEVARD &  W PRINCESS ANNE ROAD
16,E PRINCESS ANNE ROAD & ARMISTEAD AVENUE,ARMISTEAD AVENUE &  E PRINCESS ANNE ROAD
17,INGLESIDE ROAD & E PRINCESS ANNE ROAD,E PRINCESS ANNE ROAD &  INGLESIDE ROAD
18,TIDEWATER DRIVE & I-264E HIGHWAY,I-264E HIGHWAY &  TIDEWATER DRIVE
19,PEMBROKE AVENUE & MOWBRAY ARCH,MOWBRAY ARCH &  PEMBROKE AVENUE
20,W OLNEY ROAD & MOWBRAY ARCH,MOWBRAY ARCH &  W OLNEY ROAD
21,MADISON AVENUE & CORPREW AVENUE,CORPREW AVENUE &  MADISON AVENUE
22,MONTICELLO AVENUE & E 21ST STREET,E 21ST STREET &  MONTICELLO AVENUE
23,FORT WORTH AVENUE & E LITTLE CREEK ROAD,E LITTLE CREEK ROAD &  FORT WORTH AVENUE
24,COLONIAL AVENUE & 35TH STREET,35TH STREET &  COLONIAL AVENUE
