Time Stamp,Level_NAVD88_ft (ft)
08/27/2011 00:00:00,-3.676
08/27/2011 00:02:00,-3.400
08/27/2011 00:04:00,-3.270
08/27/2011 00:06:00,-2.703
08/27/2011 00:08:00,-2.458
08/27/2011 00:10:00,-2.213
08/27/2011 00:12:00,-1.614
08/27/2011 00:14:00,-1.494
08/27/2011 00:16:00,-1.432
08/27/2011 00:18:00,-1.083
08/27/2011 00:20:00,-0.786
08/27/2011 00:22:00,-0.734
08/27/2011 00:24:00,-0.682
08/27/2011 00:26:00,-0.505
08/27/2011 00:28:00,-0.187
08/27/2011 00:30:00,-0.130
08/27/2011 00:32:00,-0.093
08/27/2011 00:34:00,-0.062
08/27/2011 00:36:00,-0.031
08/27/2011 00:38:00,-0.161
08/27/2011 00:40:00,-0.864
08/27/2011 00:42:00,-2.072
08/27/2011 00:44:00,-3.447
08/27/2011 00:46:00,-4.713
08/27/2011 00:48:00,-4.854
08/27/2011 00:50:00,-4.312
08/27/2011 00:52:00,-3.843
08/27/2011 00:54:00,-3.697
08/27/2011 00:56:00,-3.598
08/27/2011 00:58:00,-3.505
08/27/2011 01:00:00,-3.416
08/27/2011 01:02:00,-3.333
08/27/2011 01:04:00,-3.249
08/27/2011 01:06:00,-2.921
08/27/2011 01:08:00,-2.567
08/27/2011 01:10:00,-2.499
08/27/2011 01:12:00,-2.046
08/27/2011 01:14:00,-1.604
08/27/2011 01:16:00,-1.525
08/27/2011 01:18:00,-1.031
08/27/2011 01:20:00,-0.838
08/27/2011 01:22:00,-0.786
08/27/2011 01:24:00,-0.458
08/27/2011 01:26:00,-0.229
08/27/2011 01:28:00,-0.203
08/27/2011 01:30:00,-0.171
08/27/2011 01:32:00,-0.093
08/27/2011 01:34:00,-0.708
08/27/2011 01:36:00,-1.848
08/27/2011 01:38:00,-3.213
08/27/2011 01:40:00,-4.130
08/27/2011 01:42:00,-4.296
08/27/2011 01:44:00,-4.468
08/27/2011 01:46:00,-4.562
08/27/2011 01:48:00,-3.541
08/27/2011 01:50:00,-2.583
08/27/2011 01:52:00,-1.635
08/27/2011 01:54:00,-0.624
08/27/2011 01:56:00,-0.135
08/27/2011 01:58:00,-0.635
08/27/2011 02:00:00,-1.661
08/27/2011 02:02:00,-2.880
08/27/2011 02:04:00,-4.062
08/27/2011 02:06:00,-4.895
08/27/2011 02:08:00,-4.416
08/27/2011 02:10:00,-3.942
08/27/2011 02:12:00,-3.812
08/27/2011 02:14:00,-3.718
08/27/2011 02:16:00,-3.640
08/27/2011 02:18:00,-3.557
08/27/2011 02:20:00,-3.140
08/27/2011 02:22:00,-2.749
08/27/2011 02:24:00,-2.676
08/27/2011 02:26:00,-2.609
08/27/2011 02:28:00,-2.260
08/27/2011 02:30:00,-1.713
08/27/2011 02:32:00,-1.510
08/27/2011 02:34:00,-0.937
08/27/2011 02:36:00,-0.801
08/27/2011 02:38:00,-0.406
08/27/2011 02:40:00,-0.213
08/27/2011 02:42:00,-0.161
08/27/2011 02:44:00,-0.150
08/27/2011 02:46:00,-0.906
08/27/2011 02:48:00,-2.083
08/27/2011 02:50:00,-2.942
08/27/2011 02:52:00,-4.171
08/27/2011 02:54:00,-4.911
08/27/2011 02:56:00,-4.676
08/27/2011 02:58:00,-3.958
08/27/2011 03:00:00,-3.640
08/27/2011 03:02:00,-3.541
08/27/2011 03:04:00,-3.426
08/27/2011 03:06:00,-2.864
08/27/2011 03:08:00,-2.604
08/27/2011 03:10:00,-2.525
08/27/2011 03:12:00,-2.093
08/27/2011 03:14:00,-1.755
08/27/2011 03:16:00,-1.661
08/27/2011 03:18:00,-1.130
08/27/2011 03:20:00,-0.900
08/27/2011 03:22:00,-0.848
08/27/2011 03:24:00,-0.588
08/27/2011 03:26:00,-0.359
08/27/2011 03:28:00,-0.322
08/27/2011 03:30:00,-0.093
08/27/2011 03:32:00,-0.437
08/27/2011 03:34:00,-1.359
08/27/2011 03:36:00,-2.135
08/27/2011 03:38:00,-3.348
08/27/2011 03:40:00,-4.275
08/27/2011 03:42:00,-4.755
08/27/2011 03:44:00,-4.630
08/27/2011 03:46:00,-4.275
08/27/2011 03:48:00,-3.432
08/27/2011 03:50:00,-3.156
08/27/2011 03:52:00,-2.999
08/27/2011 03:54:00,-2.364
08/27/2011 03:56:00,-2.140
08/27/2011 03:58:00,-1.958
08/27/2011 04:00:00,-1.369
08/27/2011 04:02:00,-1.249
08/27/2011 04:04:00,-0.942
08/27/2011 04:06:00,-0.531
08/27/2011 04:08:00,-0.458
08/27/2011 04:10:00,-0.333
08/27/2011 04:12:00,-0.005
08/27/2011 04:14:00,-0.307
08/27/2011 04:16:00,-1.072
08/27/2011 04:18:00,-1.786
08/27/2011 04:20:00,-3.057
08/27/2011 04:22:00,-4.426
08/27/2011 04:24:00,-4.520
08/27/2011 04:26:00,-3.822
08/27/2011 04:28:00,-3.593
08/27/2011 04:30:00,-3.463
08/27/2011 04:32:00,-3.145
08/27/2011 04:34:00,-2.593
08/27/2011 04:36:00,-2.494
08/27/2011 04:38:00,-2.296
08/27/2011 04:40:00,-1.744
08/27/2011 04:42:00,-1.635
08/27/2011 04:44:00,-1.452
08/27/2011 04:46:00,-0.880
08/27/2011 04:48:00,-0.749
08/27/2011 04:50:00,-0.682
08/27/2011 04:52:00,-0.312
08/27/2011 04:54:00,-0.182
08/27/2011 04:56:00,-0.078
08/27/2011 04:58:00,-0.338
08/27/2011 05:00:00,-1.114
08/27/2011 05:02:00,-1.926
08/27/2011 05:04:00,-2.703
08/27/2011 05:06:00,-3.390
08/27/2011 05:08:00,-3.958
08/27/2011 05:10:00,-4.656
08/27/2011 05:12:00,-4.166
08/27/2011 05:14:00,-3.203
08/27/2011 05:16:00,-2.229
08/27/2011 05:18:00,-1.301
08/27/2011 05:20:00,-0.557
08/27/2011 05:22:00,-0.067
08/27/2011 05:24:00,-0.239
08/27/2011 05:26:00,-0.531
08/27/2011 05:28:00,-0.900
08/27/2011 05:30:00,-1.380
08/27/2011 05:32:00,-1.890
08/27/2011 05:34:00,-2.426
08/27/2011 05:36:00,-3.010
08/27/2011 05:38:00,-3.973
08/27/2011 05:40:00,-4.666
08/27/2011 05:42:00,-4.192
08/27/2011 05:44:00,-3.333
08/27/2011 05:46:00,-2.822
08/27/2011 05:48:00,-1.921
08/27/2011 05:50:00,-1.468
08/27/2011 05:52:00,-0.801
08/27/2011 05:54:00,-0.484
08/27/2011 05:56:00,-0.124
08/27/2011 05:58:00,-0.296
08/27/2011 06:00:00,-1.020
08/27/2011 06:02:00,-1.614
08/27/2011 06:04:00,-2.609
08/27/2011 06:06:00,-3.239
08/27/2011 06:08:00,-3.973
08/27/2011 06:10:00,-4.661
08/27/2011 06:12:00,-3.786
08/27/2011 06:14:00,-2.885
08/27/2011 06:16:00,-1.635
08/27/2011 06:18:00,-0.317
08/27/2011 06:20:00,-0.088
08/27/2011 06:22:00,0.001
08/27/2011 06:24:00,-0.140
08/27/2011 06:26:00,-0.093
08/27/2011 06:28:00,-0.036
08/27/2011 06:30:00,-0.197
08/27/2011 06:32:00,-0.104
08/27/2011 06:34:00,-0.432
08/27/2011 06:36:00,-0.827
08/27/2011 06:38:00,-1.416
08/27/2011 06:40:00,-2.354
08/27/2011 06:42:00,-3.025
08/27/2011 06:44:00,-3.828
08/27/2011 06:46:00,-4.546
08/27/2011 06:48:00,-4.671
08/27/2011 06:50:00,-3.812
08/27/2011 06:52:00,-3.187
08/27/2011 06:54:00,-2.666
08/27/2011 06:56:00,-2.171
