Time Stamp,Shallow Well_NAVD 88 (ft)
02/01/2014 16:00:00,2.426
02/01/2014 17:00:00,2.440
02/01/2014 18:00:00,2.450
02/01/2014 19:00:00,2.467
02/01/2014 20:00:00,2.486
02/01/2014 21:00:00,2.525
02/01/2014 22:00:00,2.552
02/01/2014 23:00:00,2.578
02/02/2014 00:00:00,2.606
02/02/2014 01:00:00,2.636
02/02/2014 02:00:00,2.669
02/02/2014 03:00:00,2.702
02/02/2014 04:00:00,2.735
02/02/2014 05:00:00,2.765
02/02/2014 06:00:00,2.798
02/02/2014 07:00:00,2.832
02/02/2014 08:00:00,2.867
02/02/2014 09:00:00,2.897
02/02/2014 10:00:00,2.927
02/02/2014 11:00:00,2.968
02/02/2014 12:00:00,3.018
02/02/2014 13:00:00,3.069
02/02/2014 14:00:00,3.134
02/02/2014 15:00:00,3.194
02/02/2014 16:00:00,3.248
02/02/2014 17:00:00,3.292
02/02/2014 18:00:00,3.320
02/02/2014 19:00:00,3.342
02/02/2014 20:00:00,3.362
02/02/2014 21:00:00,3.374
02/02/2014 22:00:00,3.386
02/02/2014 23:00:00,3.402
02/03/2014 00:00:00,3.414
02/03/2014 01:00:00,3.419
02/03/2014 02:00:00,3.429
02/03/2014 03:00:00,3.439
02/03/2014 04:00:00,3.449
02/03/2014 05:00:00,3.457
02/03/2014 06:00:00,3.467
02/03/2014 07:00:00,3.472
02/03/2014 08:00:00,3.473
02/03/2014 09:00:00,3.483
02/03/2014 10:00:00,3.488
02/03/2014 11:00:00,3.487
02/03/2014 12:00:00,3.481
02/03/2014 13:00:00,3.486
02/03/2014 14:00:00,3.454
02/03/2014 15:00:00,3.426
02/03/2014 16:00:00,3.401
02/03/2014 17:00:00,3.375
02/03/2014 18:00:00,3.348
02/03/2014 19:00:00,3.327
02/03/2014 20:00:00,3.317
02/03/2014 21:00:00,3.306
02/03/2014 22:00:00,3.304
02/03/2014 23:00:00,3.285
02/04/2014 00:00:00,3.275
02/04/2014 01:00:00,3.269
02/04/2014 02:00:00,3.270
02/04/2014 03:00:00,3.266
02/04/2014 04:00:00,3.270
02/04/2014 05:00:00,3.255
02/04/2014 06:00:00,3.246
02/04/2014 07:00:00,3.235
02/04/2014 08:00:00,3.227
02/04/2014 09:00:00,3.209
02/04/2014 10:00:00,3.205
02/04/2014 11:00:00,3.211
02/04/2014 12:00:00,3.220
02/04/2014 13:00:00,3.240
02/04/2014 14:00:00,3.260
02/04/2014 15:00:00,3.266
02/04/2014 16:00:00,3.270
02/04/2014 17:00:00,3.263
02/04/2014 18:00:00,3.270
02/04/2014 19:00:00,3.276
02/04/2014 20:00:00,3.290
02/04/2014 21:00:00,3.298
02/04/2014 22:00:00,3.342
02/04/2014 23:00:00,3.372
02/05/2014 00:00:00,3.410
02/05/2014 01:00:00,3.440
02/05/2014 02:00:00,3.455
02/05/2014 03:00:00,3.478
02/05/2014 04:00:00,3.485
02/05/2014 05:00:00,3.500
02/05/2014 06:00:00,3.502
02/05/2014 07:00:00,3.495
02/05/2014 08:00:00,3.497
02/05/2014 09:00:00,3.505
02/05/2014 10:00:00,3.521
02/05/2014 11:00:00,3.540
02/05/2014 12:00:00,3.548
02/05/2014 13:00:00,3.562
02/05/2014 14:00:00,3.556
02/05/2014 15:00:00,3.565
02/05/2014 16:00:00,3.551
02/05/2014 17:00:00,3.537
02/05/2014 18:00:00,3.524
02/05/2014 19:00:00,3.500
02/05/2014 20:00:00,3.487
02/05/2014 21:00:00,3.463
02/05/2014 22:00:00,3.447
02/05/2014 23:00:00,3.425
02/06/2014 00:00:00,3.403
02/06/2014 01:00:00,3.393
02/06/2014 02:00:00,3.368
02/06/2014 03:00:00,3.348
02/06/2014 04:00:00,3.323
02/06/2014 05:00:00,3.310
02/06/2014 06:00:00,3.287
02/06/2014 07:00:00,3.275
02/06/2014 08:00:00,3.258
02/06/2014 09:00:00,3.247
02/06/2014 10:00:00,3.228
02/06/2014 11:00:00,3.220
02/06/2014 12:00:00,3.220
02/06/2014 13:00:00,3.230
02/06/2014 14:00:00,3.232
02/06/2014 15:00:00,3.234
02/06/2014 16:00:00,3.234
02/06/2014 17:00:00,3.233
02/06/2014 18:00:00,3.227
02/06/2014 19:00:00,3.221
02/06/2014 20:00:00,3.227
02/06/2014 21:00:00,3.203
02/06/2014 22:00:00,3.200
02/06/2014 23:00:00,3.210
02/07/2014 00:00:00,3.208
02/07/2014 01:00:00,3.193
02/07/2014 02:00:00,3.202
02/07/2014 03:00:00,3.199
02/07/2014 04:00:00,3.198
02/07/2014 05:00:00,3.193
