Time Stamp,Level_NAVD88_ft (ft)
10/28/2012 00:00:00,-3.796
10/28/2012 00:02:00,-3.301
10/28/2012 00:04:00,-2.536
10/28/2012 00:06:00,-1.807
10/28/2012 00:08:00,-1.145
10/28/2012 00:10:00,-0.640
10/28/2012 00:12:00,-0.249
10/28/2012 00:14:00,-0.395
10/28/2012 00:16:00,-1.218
10/28/2012 00:18:00,-2.557
10/28/2012 00:20:00,-3.880
10/28/2012 00:22:00,-4.947
10/28/2012 00:24:00,-4.880
10/28/2012 00:26:00,-4.765
10/28/2012 00:28:00,-4.656
10/28/2012 00:30:00,-4.562
10/28/2012 00:32:00,-4.473
10/28/2012 00:34:00,-4.390
10/28/2012 00:36:00,-4.322
10/28/2012 00:38:00,-4.249
10/28/2012 00:40:00,-4.182
10/28/2012 00:42:00,-4.114
10/28/2012 00:44:00,-3.833
10/28/2012 00:46:00,-3.104
10/28/2012 00:48:00,-2.421
10/28/2012 00:50:00,-1.765
10/28/2012 00:52:00,-1.166
10/28/2012 00:54:00,-0.692
10/28/2012 00:56:00,-0.312
10/28/2012 00:58:00,-0.421
10/28/2012 01:00:00,-1.385
10/28/2012 01:02:00,-2.729
10/28/2012 01:04:00,-4.057
10/28/2012 01:06:00,-5.046
10/28/2012 01:08:00,-4.958
10/28/2012 01:10:00,-4.848
10/28/2012 01:12:00,-4.749
10/28/2012 01:14:00,-4.645
10/28/2012 01:16:00,-4.551
10/28/2012 01:18:00,-4.458
10/28/2012 01:20:00,-4.369
10/28/2012 01:22:00,-4.301
10/28/2012 01:24:00,-4.234
10/28/2012 01:26:00,-4.161
10/28/2012 01:28:00,-3.505
10/28/2012 01:30:00,-1.973
10/28/2012 01:32:00,-0.676
10/28/2012 01:34:00,0.178
10/28/2012 01:36:00,0.360
10/28/2012 01:38:00,-0.072
10/28/2012 01:40:00,-0.484
10/28/2012 01:42:00,-1.077
10/28/2012 01:44:00,-2.255
10/28/2012 01:46:00,-3.453
10/28/2012 01:48:00,-4.687
10/28/2012 01:50:00,-5.077
10/28/2012 01:52:00,-4.958
10/28/2012 01:54:00,-4.854
10/28/2012 01:56:00,-4.760
10/28/2012 01:58:00,-4.682
10/28/2012 02:00:00,-4.604
10/28/2012 02:02:00,-4.531
10/28/2012 02:04:00,-4.463
10/28/2012 02:06:00,-4.395
10/28/2012 02:08:00,-4.338
10/28/2012 02:10:00,-4.286
10/28/2012 02:12:00,-4.229
10/28/2012 02:14:00,-4.072
10/28/2012 02:16:00,-3.416
10/28/2012 02:18:00,-2.729
10/28/2012 02:20:00,-2.078
10/28/2012 02:22:00,-1.463
10/28/2012 02:24:00,-0.932
10/28/2012 02:26:00,-0.536
10/28/2012 02:28:00,-0.406
10/28/2012 02:30:00,-0.385
10/28/2012 02:32:00,-0.374
10/28/2012 02:34:00,-0.359
10/28/2012 02:36:00,-0.343
10/28/2012 02:38:00,-0.333
10/28/2012 02:40:00,-0.317
10/28/2012 02:42:00,-0.301
10/28/2012 02:44:00,-0.291
10/28/2012 02:46:00,-0.281
10/28/2012 02:48:00,-0.265
10/28/2012 02:50:00,-0.239
10/28/2012 02:52:00,-0.218
10/28/2012 02:54:00,-0.197
10/28/2012 02:56:00,-0.176
10/28/2012 02:58:00,-0.213
10/28/2012 03:00:00,-0.906
10/28/2012 03:02:00,-2.083
10/28/2012 03:04:00,-3.390
10/28/2012 03:06:00,-4.734
10/28/2012 03:08:00,-5.041
10/28/2012 03:10:00,-4.963
10/28/2012 03:12:00,-4.890
10/28/2012 03:14:00,-4.827
10/28/2012 03:16:00,-4.666
10/28/2012 03:18:00,-4.130
10/28/2012 03:20:00,-3.416
10/28/2012 03:22:00,-2.692
10/28/2012 03:24:00,-2.005
10/28/2012 03:26:00,-1.369
10/28/2012 03:28:00,-0.973
10/28/2012 03:30:00,-0.937
10/28/2012 03:32:00,-0.921
10/28/2012 03:34:00,-0.906
10/28/2012 03:36:00,-0.890
10/28/2012 03:38:00,-0.874
10/28/2012 03:40:00,-0.859
10/28/2012 03:42:00,-0.838
10/28/2012 03:44:00,-0.822
10/28/2012 03:46:00,-0.796
10/28/2012 03:48:00,-0.770
10/28/2012 03:50:00,-0.749
10/28/2012 03:52:00,-0.729
10/28/2012 03:54:00,-0.708
10/28/2012 03:56:00,-0.687
10/28/2012 03:58:00,-0.661
10/28/2012 04:00:00,-0.640
10/28/2012 04:02:00,-0.619
10/28/2012 04:04:00,-0.598
10/28/2012 04:06:00,-0.572
10/28/2012 04:08:00,-0.551
10/28/2012 04:10:00,-0.531
10/28/2012 04:12:00,-0.505
10/28/2012 04:14:00,-0.479
10/28/2012 04:16:00,-0.452
