Time Stamp,Shallow Well_NAVD 88 (ft)
10/01/2012 00:00:00,1.160
10/01/2012 00:02:00,1.160
10/01/2012 00:04:00,1.167
10/01/2012 00:06:00,1.160
10/01/2012 00:08:00,1.160
10/01/2012 00:10:00,1.153
10/01/2012 00:12:00,1.160
10/01/2012 00:14:00,1.160
10/01/2012 00:16:00,1.160
10/01/2012 00:18:00,1.160
10/01/2012 00:20:00,1.160
10/01/2012 00:22:00,1.160
10/01/2012 00:24:00,1.160
10/01/2012 00:26:00,1.160
10/01/2012 00:28:00,1.160
10/01/2012 00:30:00,1.167
10/01/2012 00:32:00,1.160
10/01/2012 00:34:00,1.160
10/01/2012 00:36:00,1.160
10/01/2012 00:38:00,1.160
10/01/2012 00:40:00,1.160
10/01/2012 00:42:00,1.160
10/01/2012 00:44:00,1.160
10/01/2012 00:46:00,1.160
10/01/2012 00:48:00,1.160
10/01/2012 00:50:00,1.160
10/01/2012 00:52:00,1.160
10/01/2012 00:54:00,1.160
10/01/2012 00:56:00,1.160
10/01/2012 00:58:00,1.160
10/01/2012 01:00:00,1.160
10/01/2012 01:02:00,1.167
10/01/2012 01:04:00,1.167
10/01/2012 01:06:00,1.167
10/01/2012 01:08:00,1.160
10/01/2012 01:10:00,1.167
10/01/2012 01:12:00,1.160
10/01/2012 01:14:00,1.167
10/01/2012 01:16:00,1.160
10/01/2012 01:18:00,1.160
10/01/2012 01:20:00,1.160
10/01/2012 01:22:00,1.167
10/01/2012 01:24:00,1.160
10/01/2012 01:26:00,1.160
10/01/2012 01:28:00,1.167
10/01/2012 01:30:00,1.167
10/01/2012 01:32:00,1.175
10/01/2012 01:34:00,1.167
10/01/2012 01:36:00,1.167
10/01/2012 01:38:00,1.175
10/01/2012 01:40:00,1.167
10/01/2012 01:42:00,1.167
10/01/2012 01:44:00,1.167
10/01/2012 01:46:00,1.160
10/01/2012 01:48:00,1.167
10/01/2012 01:50:00,1.167
10/01/2012 01:52:00,1.167
10/01/2012 01:54:00,1.167
10/01/2012 01:56:00,1.167
10/01/2012 01:58:00,1.167
10/01/2012 02:00:00,1.167
10/01/2012 02:02:00,1.167
10/01/2012 02:04:00,1.167
10/01/2012 02:06:00,1.167
10/01/2012 02:08:00,1.167
10/01/2012 02:10:00,1.167
10/01/2012 02:12:00,1.167
10/01/2012 02:14:00,1.167
10/01/2012 02:16:00,1.167
10/01/2012 02:18:00,1.167
10/01/2012 02:20:00,1.167
10/01/2012 02:22:00,1.167
10/01/2012 02:24:00,1.167
10/01/2012 02:26:00,1.167
10/01/2012 02:28:00,1.167
10/01/2012 02:30:00,1.167
10/01/2012 02:32:00,1.167
10/01/2012 02:34:00,1.175
10/01/2012 02:36:00,1.167
10/01/2012 02:38:00,1.167
10/01/2012 02:40:00,1.167
10/01/2012 02:42:00,1.175
10/01/2012 02:44:00,1.175
10/01/2012 02:46:00,1.189
10/01/2012 02:48:00,1.160
10/01/2012 02:50:00,1.160
10/01/2012 02:52:00,1.160
10/01/2012 02:54:00,1.160
10/01/2012 02:56:00,1.160
10/01/2012 02:58:00,1.160
10/01/2012 03:00:00,1.160
10/01/2012 03:02:00,1.160
10/01/2012 03:04:00,1.160
10/01/2012 03:06:00,1.160
10/01/2012 03:08:00,1.160
10/01/2012 03:10:00,1.167
10/01/2012 03:12:00,1.167
10/01/2012 03:14:00,1.167
10/01/2012 03:16:00,1.167
10/01/2012 03:18:00,1.167
10/01/2012 03:20:00,1.167
10/01/2012 03:22:00,1.167
10/01/2012 03:24:00,1.167
10/01/2012 03:26:00,1.167
10/01/2012 03:28:00,1.167
10/01/2012 03:30:00,1.167
10/01/2012 03:32:00,1.167
10/01/2012 03:34:00,1.167
10/01/2012 03:36:00,1.167
10/01/2012 03:38:00,1.167
10/01/2012 03:40:00,1.167
10/01/2012 03:42:00,1.175
10/01/2012 03:44:00,1.167
10/01/2012 03:46:00,1.167
10/01/2012 03:48:00,1.167
10/01/2012 03:50:00,1.167
10/01/2012 03:52:00,1.211
10/01/2012 03:54:00,1.167
10/01/2012 03:56:00,1.167
10/01/2012 03:58:00,1.167
10/01/2012 04:00:00,1.167
10/01/2012 04:02:00,1.167
10/01/2012 04:04:00,1.167
10/01/2012 04:06:00,1.167
10/01/2012 04:08:00,1.167
10/01/2012 04:10:00,1.167
10/01/2012 04:12:00,1.167
10/01/2012 04:14:00,1.167
10/01/2012 04:16:00,1.175
10/01/2012 04:18:00,1.167
10/01/2012 04:20:00,1.175
10/01/2012 04:22:00,1.167
10/01/2012 04:24:00,1.175
10/01/2012 04:26:00,1.175
10/01/2012 04:28:00,1.175
10/01/2012 04:30:00,1.182
10/01/2012 04:32:00,1.175
10/01/2012 04:34:00,1.175
10/01/2012 04:36:00,1.175
10/01/2012 04:38:00,1.175
10/01/2012 04:40:00,1.175
10/01/2012 04:42:00,1.175
10/01/2012 04:44:00,1.175
10/01/2012 04:46:00,1.175
10/01/2012 04:48:00,1.175
10/01/2012 04:50:00,1.175
10/01/2012 04:52:00,1.182
10/01/2012 04:54:00,1.175
10/01/2012 04:56:00,1.182
10/01/2012 04:58:00,1.182
10/01/2012 05:00:00,1.182
10/01/2012 05:02:00,1.182
10/01/2012 05:04:00,1.182
10/01/2012 05:06:00,1.182
10/01/2012 05:08:00,1.182
10/01/2012 05:10:00,1.182
10/01/2012 05:12:00,1.182
10/01/2012 05:14:00,1.182
10/01/2012 05:16:00,1.182
10/01/2012 05:18:00,1.182
10/01/2012 05:20:00,1.182
10/01/2012 05:22:00,1.182
10/01/2012 05:24:00,1.182
10/01/2012 05:26:00,1.189
10/01/2012 05:28:00,1.182
10/01/2012 05:30:00,1.182
10/01/2012 05:32:00,1.182
10/01/2012 05:34:00,1.182
10/01/2012 05:36:00,1.189
10/01/2012 05:38:00,1.182
10/01/2012 05:40:00,1.182
10/01/2012 05:42:00,1.182
10/01/2012 05:44:00,1.182
10/01/2012 05:46:00,1.182
10/01/2012 05:48:00,1.182
10/01/2012 05:50:00,1.182
10/01/2012 05:52:00,1.182
10/01/2012 05:54:00,1.182
10/01/2012 05:56:00,1.189
10/01/2012 05:58:00,1.182
10/01/2012 06:00:00,1.189
10/01/2012 06:02:00,1.182
10/01/2012 06:04:00,1.182
10/01/2012 06:06:00,1.182
10/01/2012 06:08:00,1.182
10/01/2012 06:10:00,1.182
10/01/2012 06:12:00,1.182
10/01/2012 06:14:00,1.182
10/01/2012 06:16:00,1.182
10/01/2012 06:18:00,1.182
10/01/2012 06:20:00,1.182
10/01/2012 06:22:00,1.182
10/01/2012 06:24:00,1.182
10/01/2012 06:26:00,1.182
10/01/2012 06:28:00,1.189
10/01/2012 06:30:00,1.189
10/01/2012 06:32:00,1.196
10/01/2012 06:34:00,1.189
10/01/2012 06:36:00,1.175
10/01/2012 06:38:00,1.175
10/01/2012 06:40:00,1.182
10/01/2012 06:42:00,1.175
10/01/2012 06:44:00,1.182
10/01/2012 06:46:00,1.182
10/01/2012 06:48:00,1.182
10/01/2012 06:50:00,1.175
10/01/2012 06:52:00,1.175
10/01/2012 06:54:00,1.182
10/01/2012 06:56:00,1.182
10/01/2012 06:58:00,1.175
10/01/2012 07:00:00,1.182
10/01/2012 07:02:00,1.175
10/01/2012 07:04:00,1.182
10/01/2012 07:06:00,1.175
10/01/2012 07:08:00,1.175
10/01/2012 07:10:00,1.182
10/01/2012 07:12:00,1.182
10/01/2012 07:14:00,1.182
10/01/2012 07:16:00,1.182
10/01/2012 07:18:00,1.182
10/01/2012 07:20:00,1.182
10/01/2012 07:22:00,1.182
10/01/2012 07:24:00,1.182
10/01/2012 07:26:00,1.182
10/01/2012 07:28:00,1.182
10/01/2012 07:30:00,1.189
10/01/2012 07:32:00,1.182
10/01/2012 07:34:00,1.182
10/01/2012 07:36:00,1.182
10/01/2012 07:38:00,1.182
10/01/2012 07:40:00,1.175
10/01/2012 07:42:00,1.182
10/01/2012 07:44:00,1.182
10/01/2012 07:46:00,1.182
10/01/2012 07:48:00,1.182
10/01/2012 07:50:00,1.182
10/01/2012 07:52:00,1.182
10/01/2012 07:54:00,1.182
10/01/2012 07:56:00,1.175
10/01/2012 07:58:00,1.175
10/01/2012 08:00:00,1.175
10/01/2012 08:02:00,1.175
10/01/2012 08:04:00,1.175
10/01/2012 08:06:00,1.182
10/01/2012 08:08:00,1.182
10/01/2012 08:10:00,1.175
10/01/2012 08:12:00,1.175
10/01/2012 08:14:00,1.175
10/01/2012 08:16:00,1.196
10/01/2012 08:18:00,1.182
10/01/2012 08:20:00,1.175
10/01/2012 08:22:00,1.182
10/01/2012 08:24:00,1.175
10/01/2012 08:26:00,1.182
10/01/2012 08:28:00,1.175
10/01/2012 08:30:00,1.189
10/01/2012 08:32:00,1.182
10/01/2012 08:34:00,1.175
10/01/2012 08:36:00,1.182
10/01/2012 08:38:00,1.175
10/01/2012 08:40:00,1.175
10/01/2012 08:42:00,1.218
10/01/2012 08:44:00,1.182
10/01/2012 08:46:00,1.175
10/01/2012 08:48:00,1.175
10/01/2012 08:50:00,1.175
10/01/2012 08:52:00,1.175
10/01/2012 08:54:00,1.175
10/01/2012 08:56:00,1.175
10/01/2012 08:58:00,1.175
10/01/2012 09:00:00,1.182
10/01/2012 09:02:00,1.175
10/01/2012 09:04:00,1.175
10/01/2012 09:06:00,1.175
10/01/2012 09:08:00,1.175
10/01/2012 09:10:00,1.167
10/01/2012 09:12:00,1.175
10/01/2012 09:14:00,1.175
10/01/2012 09:16:00,1.167
10/01/2012 09:18:00,1.175
10/01/2012 09:20:00,1.175
10/01/2012 09:22:00,1.167
10/01/2012 09:24:00,1.175
10/01/2012 09:26:00,1.175
10/01/2012 09:28:00,1.175
10/01/2012 09:30:00,1.175
10/01/2012 09:32:00,1.175
10/01/2012 09:34:00,1.167
10/01/2012 09:36:00,1.167
10/01/2012 09:38:00,1.167
10/01/2012 09:40:00,1.167
10/01/2012 09:42:00,1.167
10/01/2012 09:44:00,1.167
10/01/2012 09:46:00,1.167
10/01/2012 09:48:00,1.160
10/01/2012 09:50:00,1.153
10/01/2012 09:52:00,1.153
10/01/2012 09:54:00,1.153
10/01/2012 09:56:00,1.153
10/01/2012 09:58:00,1.153
10/01/2012 10:00:00,1.160
10/01/2012 10:02:00,1.160
10/01/2012 10:04:00,1.160
10/01/2012 10:06:00,1.160
10/01/2012 10:08:00,1.160
10/01/2012 10:10:00,1.153
10/01/2012 10:12:00,1.160
10/01/2012 10:14:00,1.153
10/01/2012 10:16:00,1.160
10/01/2012 10:18:00,1.160
10/01/2012 10:20:00,1.160
10/01/2012 10:22:00,1.160
10/01/2012 10:24:00,1.160
10/01/2012 10:26:00,1.153
10/01/2012 10:28:00,1.160
10/01/2012 10:30:00,1.160
10/01/2012 10:32:00,1.153
10/01/2012 10:34:00,1.160
10/01/2012 10:36:00,1.160
10/01/2012 10:38:00,1.153
10/01/2012 10:40:00,1.153
10/01/2012 10:42:00,1.160
10/01/2012 10:44:00,1.153
10/01/2012 10:46:00,1.153
10/01/2012 10:48:00,1.146
10/01/2012 10:50:00,1.146
10/01/2012 10:52:00,1.146
10/01/2012 10:54:00,1.153
10/01/2012 10:56:00,1.146
10/01/2012 10:58:00,1.153
10/01/2012 11:00:00,1.153
10/01/2012 11:02:00,1.146
10/01/2012 11:04:00,1.146
10/01/2012 11:06:00,1.146
10/01/2012 11:08:00,1.146
10/01/2012 11:10:00,1.153
10/01/2012 11:12:00,1.146
10/01/2012 11:14:00,1.146
10/01/2012 11:16:00,1.146
10/01/2012 11:18:00,1.146
10/01/2012 11:20:00,1.146
10/01/2012 11:22:00,1.146
10/01/2012 11:24:00,1.146
10/01/2012 11:26:00,1.139
10/01/2012 11:28:00,1.146
10/01/2012 11:30:00,1.146
10/01/2012 11:32:00,1.146
10/01/2012 11:34:00,1.139
10/01/2012 11:36:00,1.146
10/01/2012 11:38:00,1.139
10/01/2012 11:40:00,1.139
10/01/2012 11:42:00,1.160
10/01/2012 11:44:00,1.139
10/01/2012 11:46:00,1.139
10/01/2012 11:48:00,1.139
10/01/2012 11:50:00,1.139
10/01/2012 11:52:00,1.139
10/01/2012 11:54:00,1.139
10/01/2012 11:56:00,1.131
10/01/2012 11:58:00,1.131
10/01/2012 12:00:00,1.139
10/01/2012 12:02:00,1.131
10/01/2012 12:04:00,1.131
10/01/2012 12:06:00,1.131
10/01/2012 12:08:00,1.131
10/01/2012 12:10:00,1.131
10/01/2012 12:12:00,1.131
