Time Stamp,Shallow Well_NAVD 88 (ft)
10/01/2016 00:00:00,3.567
10/01/2016 00:02:00,3.567
10/01/2016 00:04:00,3.567
10/01/2016 00:06:00,3.581
10/01/2016 00:08:00,3.567
10/01/2016 00:10:00,3.574
10/01/2016 00:12:00,3.574
10/01/2016 00:14:00,3.567
10/01/2016 00:16:00,3.567
10/01/2016 00:18:00,3.574
10/01/2016 00:20:00,3.567
10/01/2016 00:22:00,3.581
10/01/2016 00:24:00,3.574
10/01/2016 00:26:00,3.567
10/01/2016 00:28:00,3.567
10/01/2016 00:30:00,3.581
10/01/2016 00:32:00,3.574
10/01/2016 00:34:00,3.574
10/01/2016 00:36:00,3.574
10/01/2016 00:38:00,3.567
10/01/2016 00:40:00,3.567
10/01/2016 00:42:00,3.567
10/01/2016 00:44:00,3.567
10/01/2016 00:46:00,3.574
10/01/2016 00:48:00,3.574
10/01/2016 00:50:00,3.567
10/01/2016 00:52:00,3.567
10/01/2016 00:54:00,3.574
10/01/2016 00:56:00,3.610
10/01/2016 00:58:00,3.574
10/01/2016 01:00:00,3.574
10/01/2016 01:02:00,3.567
10/01/2016 01:04:00,3.574
10/01/2016 01:06:00,3.588
10/01/2016 01:08:00,3.574
10/01/2016 01:10:00,3.567
10/01/2016 01:12:00,3.574
10/01/2016 01:14:00,3.574
10/01/2016 01:16:00,3.567
10/01/2016 01:18:00,3.574
10/01/2016 01:20:00,3.574
10/01/2016 01:22:00,3.574
10/01/2016 01:24:00,3.574
10/01/2016 01:26:00,3.574
10/01/2016 01:28:00,3.581
10/01/2016 01:30:00,3.574
10/01/2016 01:32:00,3.581
10/01/2016 01:34:00,3.574
10/01/2016 01:36:00,3.574
10/01/2016 01:38:00,3.574
10/01/2016 01:40:00,3.617
10/01/2016 01:42:00,3.574
10/01/2016 01:44:00,3.567
10/01/2016 01:46:00,3.574
10/01/2016 01:48:00,3.574
10/01/2016 01:50:00,3.574
10/01/2016 01:52:00,3.574
10/01/2016 01:54:00,3.567
10/01/2016 01:56:00,3.574
10/01/2016 01:58:00,3.574
10/01/2016 02:00:00,3.581
10/01/2016 02:02:00,3.574
10/01/2016 02:04:00,3.574
10/01/2016 02:06:00,3.574
10/01/2016 02:08:00,3.574
10/01/2016 02:10:00,3.574
10/01/2016 02:12:00,3.574
10/01/2016 02:14:00,3.574
10/01/2016 02:16:00,3.574
10/01/2016 02:18:00,3.574
10/01/2016 02:20:00,3.581
10/01/2016 02:22:00,3.574
10/01/2016 02:24:00,3.574
10/01/2016 02:26:00,3.574
10/01/2016 02:28:00,3.596
10/01/2016 02:30:00,3.581
10/01/2016 02:32:00,3.574
10/01/2016 02:34:00,3.574
10/01/2016 02:36:00,3.574
10/01/2016 02:38:00,3.574
10/01/2016 02:40:00,3.574
10/01/2016 02:42:00,3.574
10/01/2016 02:44:00,3.581
10/01/2016 02:46:00,3.574
10/01/2016 02:48:00,3.574
10/01/2016 02:50:00,3.574
10/01/2016 02:52:00,3.574
10/01/2016 02:54:00,3.574
10/01/2016 02:56:00,3.581
10/01/2016 02:58:00,3.581
