E VIRGINIA BEACH BOULEVARD & TIDEWATER DRIVE,19
BOUSH STREET & W OLNEY ROAD,12
4TH VIEW STREET & W OCEAN VIEW AVENUE,12
E VIRGINIA BEACH BOULEVARD & PARK AVENUE,11
LLEWELLYN AVENUE & SHIRLEY AVENUE,9
19TH BAY STREET & PLEASANT AVENUE,8
300 BLOCK OF E LITTLE CREEK ROAD,8
E BRAMBLETON AVENUE & ROSWELL AVENUE,7
E BRAMBLETON AVENUE & TIDEWATER DRIVE,7
E PRINCESS ANNE ROAD & MONTICELLO AVENUE,7
E PRINCESS ANNE ROAD & INGLESIDE ROAD,7
E VIRGINIA BEACH BOULEVARD & MONTICELLO AVENUE,6
GRANBY STREET & LLEWELLYN AVENUE,6
COLLEY AVENUE & W 21ST STREET,5
300 BLOCK OF SHIRLEY AVENUE,5
HAMPTON BOULEVARD & MAGNOLIA AVENUE,5
HAMPTON BOULEVARD & JAMESTOWN CRESCENT,5
DUKE STREET & W OLNEY ROAD,5
900 BLOCK OF BAGNALL ROAD,5
8100 BLOCK OF HAMPTON BOULEVARD,4
HAMPTON BOULEVARD & TERMINAL BOULEVARD,4
BLUESTONE AVENUE & 49TH STREET,4
COLONIAL AVENUE & W PRINCESS ANNE ROAD,4
AZALEA GARDEN ROAD & E PRINCESS ANNE ROAD,4
DELAWARE AVENUE & LLEWELLYN AVENUE,4
49TH STREET & HAMPTON BOULEVARD,3
3500 BLOCK OF SEWELLS POINT ROAD,3
900 BLOCK OF E OCEAN VIEW AVENUE,3
ARMISTEAD AVENUE & E PRINCESS ANNE ROAD,3
W OLNEY ROAD & W VIRGINIA BEACH BOULEVARD,3
BOLLING AVENUE & HAMPTON BOULEVARD,3
NORVIEW AVENUE & TIDEWATER DRIVE,3
E 21ST STREET & MONTICELLO AVENUE,3
ALEXANDER STREET & STRAND STREET,3
4100 BLOCK OF LLEWELLYN AVENUE,3
800 BLOCK OF 51ST STREET,3
E LITTLE CREEK ROAD & FORT WORTH AVENUE,3
HAMPTON BOULEVARD & LARCHMONT CRESCENT,3
400 BLOCK OF TIDEWATER DRIVE,3
35TH STREET & COLONIAL AVENUE,3
6000 BLOCK OF HAMPTON BOULEVARD,3
20TH BAY STREET & PLEASANT AVENUE,3
I-264E HIGHWAY & TIDEWATER DRIVE,3
100 BLOCK OF PARK AVENUE,3
7900 BLOCK OF HAMPTON BOULEVARD,3
8000 BLOCK OF HAMPTON BOULEVARD,3
7TH BAY STREET & PRETTY LAKE AVENUE,3
9600 BLOCK OF 4TH VIEW STREET,3
DEBREE AVENUE & W PRINCESS ANNE ROAD,3
1400 BLOCK OF KEMPSVILLE ROAD,3
E CHARLOTTE STREET & WALKE STREET,3
E BRAMBLETON AVENUE & PARK AVENUE,3
CHURCH STREET & GOFF STREET,3
DELAWARE AVENUE & MAYFLOWER ROAD,3
WATER STREET & PARK AVENUE,3
401 MONTICELLO AVENUE,3
E BRAMBLETON AVENUE & SAINT PAULS BOULEVARD,3
E CITY HALL AVENUE & TIDEWATER DRIVE,3
MOWBRAY ARCH & W OLNEY ROAD,3
9600 BLOCK OF 3RD BAY STREET,3
E LITTLE CREEK ROAD & GALVESTON BOULEVARD,3
LLEWELLYN AVENUE & W VIRGINIA BEACH BOULEVARD,3
HAMPTON BOULEVARD & W 21ST STREET,2
COLLEY AVENUE & RALEIGH AVENUE,2
E CHARLOTTE STREET & TIDEWATER DRIVE,2
E LITTLE CREEK ROAD & SAN ANTONIO BOULEVARD,2
4600 BLOCK OF MAYFLOWER ROAD,2
300 BLOCK OF ROGERS AVENUE,2
BOLLING AVENUE & JAMESTOWN CRESCENT,2
DRUMMOND PLACE & MOWBRAY ARCH,2
NORVIEW AVENUE & SEDGEFIELD DRIVE,2
14TH VIEW STREET & W OCEAN VIEW AVENUE,2
COLONIAL AVENUE & W 26TH STREET,2
E VIRGINIA BEACH BOULEVARD & GRANBY STREET,2
HAMPTON BOULEVARD & SURREY CRESCENT,2
CROMWELL DRIVE & TIDEWATER DRIVE,2
HAMPTON BOULEVARD & W PRINCESS ANNE ROAD,2
7700 GLOUCESTER AVENUE,2
MOWBRAY ARCH & PEMBROKE AVENUE,2
1000 BLOCK OF E VIRGINIA BEACH BOULEVARD,2
300 E LITTLE CREEK ROAD,2
7000 BLOCK OF HAMPTON BOULEVARD,2
COLONIAL AVENUE & W 21ST STREET,2
21ST BAY STREET & PRETTY LAKE AVENUE,2
426 GRANBY STREET,2
1300 BLOCK OF JOHNSTONS ROAD,2
DUKE STREET & W BRAMBLETON AVENUE,2
BOUSH STREET & W VIRGINIA BEACH BOULEVARD,2
600 BLOCK OF TIDEWATER DRIVE,2
17TH STREET & MONTICELLO AVENUE,2
900 BLOCK OF E BRAMBLETON AVENUE,2
CHURCH STREET & E BRAMBLETON AVENUE,2
2200 BLOCK OF KIMBALL TERRACE,2
6700 BLOCK OF AZALEA GARDEN ROAD,2
CORPREW AVENUE & MADISON AVENUE,2
1200 BLOCK OF COLONIAL AVENUE,2
