,0,1
0,300 BLOCK OF SHIRLEY AVENUE,
1,LLEWELLYN AVENUE,SHIRLEY AVENUE
2,LLEWELLYN AVENUE,W PRINCESS ANNE ROAD
3,900 BLOCK OF TIDEWATER DRIVE,
4,CAMPOSTELLA ROAD,E BRAMBLETON AVENUE
5,2800 BLOCK OF E VIRGINIA BEACH BOULEVARD,
6,3500 BLOCK OF SEWELLS POINT ROAD,
7,E LITTLE CREEK ROAD,GALVESTON BOULEVARD
8,4TH VIEW STREET,W OCEAN VIEW AVENUE
9,300 BLOCK OF E LITTLE CREEK ROAD,
10,E LITTLE CREEK ROAD,SAN ANTONIO BOULEVARD
11,ALEXANDER STREET,STRAND STREET
12,300 BLOCK OF SAN ANTONIO BOULEVARD,
13,400 BLOCK OF SAN ANTONIO BOULEVARD,
14,1100 BLOCK OF GEORGETOWN ROAD,
15,E BRAMBLETON AVENUE,SAINT PAULS BOULEVARD
16,BOUSH STREET,W OLNEY ROAD
17,E BRAMBLETON AVENUE,I-264W HIGHWAY
18,BALDWIN AVENUE,STOCKLEY GARDENS
19,CHURCH STREET,GOFF STREET
20,CHURCH STREET,E PRINCESS ANNE ROAD
21,E PRINCESS ANNE ROAD,MONTICELLO AVENUE
22,DEBREE AVENUE,W PRINCESS ANNE ROAD
23,INGLESIDE ROAD,E PRINCESS ANNE ROAD
24,E VIRGINIA BEACH BOULEVARD,TIDEWATER DRIVE
25,GOSNOLD AVENUE,W 26TH STREET
26,MUNSON STREET,W 26TH STREET
27,NEWPORT AVENUE,W 26TH STREET
28,COLONIAL AVENUE,W 26TH STREET
29,ARGONNE AVENUE,KITCHENER AVENUE
30,6200 BLOCK OF GENEVA WAY,
31,CHESAPEAKE BOULEVARD,FISHERMANS ROAD
32,2000 BLOCK OF E OCEAN VIEW AVENUE,
33,6600 BLOCK OF AZALEA GARDEN ROAD,
34,1000 BLOCK OF WARWICK AVENUE,
35,700 BLOCK OF EUWANEE PLACE,
36,100 BLOCK OF E WESTMONT AVENUE,
37,E BAYVIEW BOULEVARD,STURGIS STREET
38,CHESAPEAKE BOULEVARD,MIDDLETON PLACE
39,6500 BLOCK OF CHESAPEAKE BOULEVARD,
40,6200 BLOCK OF EDWARD STREET,
41,2400 BLOCK OF SEWELLS POINT ROAD,
42,ALDER STREET,DENVER AVENUE
43,TABB STREET,TIDEWATER DRIVE
44,1600 BLOCK OF MORRIS AVENUE,
